,Quelle,Keyword,Kategorie
65,,Mixed-integer linear programming - Gemischt-ganzzahlige lineare Programmierung,Fachliteratur
66,,Formulation tightening - Formulierungsverengung,Fachliteratur
67,,Convex hull - Konvexe Hülle,Fachliteratur
68,,Binary variables - Binäre Variablen,Fachliteratur
69,,Continuous variables - Stetige Variablen,Fachliteratur
70,,Scheduling horizon - Planungszeitraum,Fachliteratur
71,,Operation precedence - Operationsreihenfolge,Fachliteratur
72,,Processing time - Bearbeitungszeit,Fachliteratur
73,,Machine capacity - Maschinenkapazität,Fachliteratur
74,,Branch-and-cut - Branch-and-cut Verfahren,Fachliteratur
75,,Data preprocessing - Datenvorverarbeitung,Fachliteratur
76,,Vertex elimination - Eckpunkt-Eliminierung,Fachliteratur
77,,Constraint-to-vertex conversion - Umwandlung von Nebenbedingungen in Eckpunkte,Fachliteratur
78,,Vertex-to-constraint conversion - Umwandlung von Eckpunkten in Nebenbedingungen,Fachliteratur
79,,Tardiness,Fachliteratur
80,,Cycle time - Durchlaufzeit,Fachliteratur
81,,Optimization - Optimierung,Fachliteratur
82,,"""Non-preemption"" - Nichtunterbrechbarkeit",Fachliteratur
83,,Scheduling problems - Planungsprobleme,Fachliteratur
84,,MILP methods - MILP-Verfahren,Fachliteratur
85,,Lagrangian relaxation,Fachliteratur
86,,Objective function - Zielfunktion,Fachliteratur
87,,Scheduling robustness - Planungsrobustheit,Fachliteratur
88,,Feasible solution space - Zulässiger Lösungsraum,Fachliteratur
89,,Parameterization,Fachliteratur
90,,Computational efficiency - Rechenleistung / Berechnungseffizienz,Fachliteratur
93,,4. Natural language Processing To assess Structure and Complexity of System Requirements,Fachliteratur
94,,Requirements Engineering,Fachliteratur
95,,System Requirements,Fachliteratur
96,,Requirements Specification,Fachliteratur
97,,Requirement Structure,Fachliteratur
98,,Entity Linking,Fachliteratur
99,,Requirement Elicitation,Fachliteratur
100,,Structural Complexity,Fachliteratur
101,,Complexity Metrics,Fachliteratur
102,,Network Density,Fachliteratur
103,,Spectral Entropy,Fachliteratur
104,,Loops,Fachliteratur
105,,Natural Language Processing,Fachliteratur
106,,POS Tagging,Fachliteratur
107,,Tokenization,Fachliteratur
108,,Chunking,Fachliteratur
109,,Pattern matcher,Fachliteratur
110,,NLP Framework,Fachliteratur
111,,Blind Test Validation,Fachliteratur
112,,Case Study,Fachliteratur
113,,Model-Based Systems Engineering,Fachliteratur
114,,Error Detection,Fachliteratur
115,,Semantic Similarity,Fachliteratur
124,,5. Multibody_Models_Generated_from_Natural_Language,Fachliteratur
125,,Multibody system - Mehrkörpersystem,Fachliteratur
126,,Natural language - Natürliche Sprache,Fachliteratur
127,,Large Language Model,Fachliteratur
128,,Simulation model - Simulationsmodell,Fachliteratur
129,,Kinematics - Kinematik,Fachliteratur
130,,Dynamics - Dynamik,Fachliteratur
131,,rigid/ flexible body - Starres / Flexibles Körpermodell,Fachliteratur
132,,Joint,Fachliteratur
133,,Force,Fachliteratur
134,,Geometry - Geometrie,Fachliteratur
135,,Exudyn,Fachliteratur
136,,Code generation - Codegenerierung,Fachliteratur
137,,In-context learning - Lernen im Kontext,Fachliteratur
138,,Transformer architecture - Transformer-Architektur,Fachliteratur
139,,Syntax error,Fachliteratur
140,,Modeling error - Modellierungsfehler,Fachliteratur
141,,Parameter,Fachliteratur
142,,Simulation settings,Fachliteratur
143,,Solver,Fachliteratur
144,,Mechanical model,Fachliteratur
145,,Visualization,Fachliteratur
146,,Prompt,Fachliteratur
147,,Token,Fachliteratur
148,,Prismatic joint,Fachliteratur
149,,Revolute joint,Fachliteratur
150,,Code completion,Fachliteratur
155,,6. Evaluating Well-Formedness Constraints on,Fachliteratur
156,,Model-Driven Development,Fachliteratur
157,,Metamodel,Fachliteratur
158,,Partial Model,Fachliteratur
159,,Domain-Specific Language,Fachliteratur
160,,Containment Hierarchy,Fachliteratur
161,,Well-Formedness Constraints,Fachliteratur
162,,Constraint Evaluation,Fachliteratur
163,,Structural Constraints,Fachliteratur
164,,Design Rules,Fachliteratur
165,,Rewriting Model Queries,Fachliteratur
166,,Graph Pattern,Fachliteratur
167,,Pattern Matching Engine,Fachliteratur
168,,Open-World Semantics,Fachliteratur
169,,Closed-World Semantics,Fachliteratur
170,,May Match,Fachliteratur
171,,Must Match,Fachliteratur
172,,Symbolic Match,Fachliteratur
173,,Viatra Framework,Fachliteratur
174,,Eclipse Modeling Framework,Fachliteratur
175,,Yakindu Statecharts,Fachliteratur
176,,SMT/SAT Solvers,Fachliteratur
177,,Alloy Analyzer,Fachliteratur
178,,Approximation Technique,Fachliteratur
186,,7. Extracting Domain Models from Textual Requirements in the Era of Large Language Models.pdf,Fachliteratur
187,,Requirements Engineering - Anforderungsanalyse,Fachliteratur
188,,Domain Models - Domänenmodelle,Fachliteratur
189,,User Stories - Benutzerstories,Fachliteratur
190,,Large Language Models,Fachliteratur
191,,Agile Backlog,Fachliteratur
192,,Concept Extraction,Fachliteratur
194,,Prompt Engineering,Fachliteratur
195,,Function Call,Fachliteratur
196,,Entity,Fachliteratur
197,,Persona,Fachliteratur
198,,Action,Fachliteratur
199,,Benefit,Fachliteratur
200,,Visual Narrator,Fachliteratur
201,,Conditional Random Fields,Fachliteratur
202,,Supervised Learning,Fachliteratur
203,,Ground Truth,Fachliteratur
204,,Annotation,Fachliteratur
205,,Part-of-Speech,Fachliteratur
206,,Trigger/ Target Relation,Fachliteratur
207,,Precision and Recall,Fachliteratur
208,,F1-Score,Fachliteratur
209,,JSON Schema,Fachliteratur
210,,Model Extraction,Fachliteratur
213,,Conversational Agent,Fachliteratur
214,,Reproducibility,Fachliteratur
215,,Machine Learning Pipeline,Fachliteratur
217,,8. Analyzing the Effects of Role Configuration in Logstics Processes using Multiagent-Based Simulation An Interdisciplinary Approach,Fachliteratur
218,,Role configuration,Fachliteratur
219,,Multiagent-based simulation,Fachliteratur
220,,Knowledge distribution,Fachliteratur
221,,Intentional forgetting,Fachliteratur
222,,Specialization,Fachliteratur
223,,Agent architecture,Fachliteratur
224,,Cognitive load,Fachliteratur
225,,Process quality,Fachliteratur
226,,Organizational design,Fachliteratur
227,,Team cognition,Fachliteratur
228,,Task knowledge,Fachliteratur
229,,Decision-making,Fachliteratur
230,,Performance indicator,Fachliteratur
231,,Autonomous logistics,Fachliteratur
232,,Transactive memory,Fachliteratur
233,,Distributed artificial intelligence,Fachliteratur
234,,Serious game,Fachliteratur
235,,Agent capabilities,Fachliteratur
236,,Knowledge configuration,Fachliteratur
237,,Error frequency,Fachliteratur
248,,9. Simulating Strain and Motivation in Human Work Performance An Agent-Based Modeling Approach Using the Job Demands-Resources Model,Fachliteratur
249,,Human Work Performance,Fachliteratur
250,,Job Demands-Resources Model,Fachliteratur
251,,Strain,Fachliteratur
252,,Motivation,Fachliteratur
253,,BDI Architecture,Fachliteratur
254,,Cognitive Decision-Making,Fachliteratur
255,,Simulation,Fachliteratur
256,,Time Capacity,Fachliteratur
257,,Order Difficulty,Fachliteratur
258,,Intrinsic States,Fachliteratur
259,,Job Demands,Fachliteratur
260,,Job Resources,Fachliteratur
261,,Health Impairment Process,Fachliteratur
262,,Motivational Process,Fachliteratur
263,,job-performance,Fachliteratur
264,,Stressors,Fachliteratur
265,,Workload,Fachliteratur
266,,Coping Strategies,Fachliteratur
267,,Organizational Outcomes,Fachliteratur
268,,Personal Resources,Fachliteratur
269,,Work Engagement,Fachliteratur
270,,Performance Ratio,Fachliteratur
